,recommend,recommendation,recommendations,,suggest,suggestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food,eat,hungry,starving,craving,yearning,appetite,a stomach for,longing,lust,desire,hungriness,belly,itching,taste,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,steak,shawerma,fries,feter,pizza,sushi,fish,wings,burger,beef,italian,american,chinese,greek,indian,protein,seafood,sheep,ham,kebab,kabab,sandwich,sausage,hot dog,salad,noodles,fried chicken,taco,mexican,burrito,lamb,veal,goat,bison,turkey,duck,pigeon,salmon,lobster,gandofli
dinein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indoor,indoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outdoor,outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delivery,delivered,home,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rehab,firstsettlement,maadi,nasrcity,heliopolis,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yeah,yea,okay,sure,hader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,nah,laa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
