Wingo,First Settlement,wings-burgers,Dine in/Takeaway,Outdoor,3PM - 12AM,4.2,Low,Medium,15,$,-,No,-,Family-Date-Friends,Wings with Honey Mustard Sauce,1009996040
Mo Sushi,Al Rehab,Sushi,Dine in/Takeaway/Delivery,Indoor-Outdoor,12PM - 12AM,4.4,Low,Medium,40,$,NA,No,-,Family-Date-Friends,-,01050923665-01119244438
Pablo & Abdo,Heliopolis,Burger-Mexican-Tacos-Chicken-Sandwiches-Grilled-Shawerma-Feteer,Dine in/Takeaway/Delivery,Indoor-Outdoor,12PM - 2:30AM,4.1,Very Low,High,40,$,NA,No,-,Friends-Family,Tacos & Feteer,17041
Luqma Shamya,Fifth Settlement,Syrian Food,Takeaway/Delivery,NA,7AM - 10PM,4.1,NA,Low,20,$,30,Yes,-,NA,Batates Soury Sandwich,1110737789
Labash,Fifth Settlement,Grilled-Fried Chicken,Dine in/Takeaway,Indoor,10AM - 11:45PM,4.4,High,Medium,30,$$,-,No,-,Family-Date-Friends,Kafet Fried Chicken,NA
CaiRoma,Downtown Cairo,Pizza,Dine in/Takeaway/Delivery,Indoor-Outdoor,3PM - 1AM,4.2,Low,Medium,30,$$,NA,Yes,-,Family-Date-Friends,-,02 23923228
Saad Al Haramy,Downtown Cairo,Oriental,Dine in/Takeaway/Delivery,Indoor-Outdoor,7AM - 10PM,4,Low,Medium,25,$,NA,Yes,-,Friends-Family,Fool Bel Lahma & Fool Bel Eshta,1143528981
Lyaly Al Sham,Al Rehab,Syrian,Dine in/Takeaway/Delivery,Outdoor,7AM - 1AM,4.4,Low,Medium,20,$,NA,Yes,-,Friends-Family,Mix Sandwich,1065641265
Bazooka,First Settlement - Fifth Settlement - Al Rehab - Heliopolis - Downtown Cairo - Nasr City - Sheraton - El Nozha - Masr Al Gedida,Fried Chicken,Dine in/Takeaway/Delivery,Indoor,12PM - 1AM,4,High,Medium,30,$,60,No,-,Friends-Family,-,16455
City Crepe,Al Rehab - Fifth Settlement - Nasr City,Crepe,Takeaway/Delivery,NA,12PM - 2AM,3.9,NA,Medium,20,$,50,No,-,Friends-Family,-,15977
Marino,Al Rehab,Pizza-Feteer,Takeaway/Delivery,NA,10AM - 2AM,4,NA,Low,25,$,50,Yes,-,Friends-Family,Feteer Overall,02 26076512
Ibn Alsham,Fifth Settlement -Al Rehab - first,Syrian Food,Dine in/Takeaway/Delivery,Indoor-Outdoor,9AM - 2AM,4.4,High,High,25,$,60,No,-,Friends-Family,Zinger Meal,15155
Broccar,First Settlement -Al Rehab - first,Syrian Food,Dine in/Takeaway/Delivery,Indoor,9AM - 2AM,4.4,Medium,High,30,$,60,No,-,Friends-Family,-,15540
Hwawshy Al Refaay,Fifth Settlement - Maadi - Nasr City - fifth,Hwawshy,Takeaway/Delivery,NA,11AM - 1AM,4.2,NA,Low,20,$,40,No,-,Friends-Family,Hwawshy Mix Cheese,15017
Willy's Kitchen,Fifth Settlement - First Settlement - Nasr City - Masr Al Gedida - Maadi - fifth,Burger-Sandwiches,Dine in/Takeaway/Delivery,Indoor-Outdoor,11AM - 2AM,4.3,Medium,Medium,40,$,NA,No,-,Friends-Family,Buffalo Nacho Chicken,19256
Ezz Elmnofy,Dokki - Mohandessin - Masr Al Gedida - Maadi - Fifth settlement - Al Rehab - Mokattam - Downtown Cairo - Abaseya,Kebda - Sogoa,Dine in/Takeaway/Delivery,Indoor-Outdoor,10AM -2AM,4.1,Very Low,High,20,$,50,No,-,Friends-Family,Sogoa Mafrom,16976
El Sultan Pizza,Fifth Settlement - Nasr City -Downtown Cairo - fifth,Pizza-Feteer,Dine in/Takeaway/Delivery,Indoor-Outdoor,12AM - 2AM,4.1,Very Low,Medium,30,$,NA,No,-,Friends-Family,-,02 22748080
Kazoku,First Settlement - first,Japanese - Sushi - Asian,Dine in/Takeaway,Indoor,2PM - 1AM,4.6,Medium,Medium,50,$$$,-,No,-,Family-Date-Friends,-,1270004877
Lexie's,First Settlement - first,Italian,Dine in/Takeaway/Delivery,Indoor-Outdoor,2PM - 1AM,4.6,High,Medium,50,$$$,NA,No,-,Family-Date-Friends,-,1285818590
